INS number	Aus	EU	US	Name	Category
100	A	E	U	curcumins	colour
100(i)	A	E	U	curcumin	colour (yellow and orange)
100(ii)	A	E	U	turmeric	colour (yellow and orange)
101	A	E	U	riboflavins	
101(i)	A	E	U	riboflavin, synthetic (vitamin B2)	colour (yellow and orange)
101(ii)	A	E		Riboflavin-5'-phosphate	colour (yellow and orange)
101(iii)	A	E		riboflavin from Bacillus subtilis	colour (yellow and orange)
102	A	E	U	tartrazine	colour (yellow and orange) (FDA: FD&C Yellow #5)
103	A			alkannin, chrysoine resorcinol	colour (red)
104	A	E		Quinoline Yellow WS	colour (yellow and orange) (FDA: D&C Yellow #10)
107		E		Yellow 2G	colour (yellow and orange)
110	A	E	U	Sunset Yellow FCF	colour (yellow and orange) (FDA: FD&C Yellow #6)
111	?	E		Orange GGN. Delisted	colour (orange)
120	A	E	U	Cochineal, carmines	colour (red)
121			U	Citrus red 2, Orcein, Orchil	colour (red)
122	A	E		azorubine, carmoisine	colour (red) (FDA: Ext D&C Red #10)
123		E		amaranth Delisted	colour (red) (FDA: [DELISTED] Red #2)
124	A	E		Brilliant Scarlet 4R, Ponceau 4R	colour (FDA: Ext D&C Red #8)
125				Ponceau SX, Scarlet GN	colour
126				Ponceau 6R. Delisted	colour
127		E	U	erythrosine	colour (red) (FDA: FD&C Red #3)
128		E		Red 2G	colour
129	A	E	U	Allura red AC	colour (FDA: FD&C Red #40)
130			U	Indanthrene blue RS	colour (blue)
131		E		Patent blue V	colour (blue)
132	A	E	U	indigo carmine, indigotine	colour (blue) (FDA: FD&C Blue #2)
133	A	E	U	Brilliant blue FCF	colour (FDA: FD&C Blue #1)
140	A	E	U	chlorophylls	colour (green)
141	A	E	U	Chlorophylls and chlorophyllins, copper complexes	
141(i)			U	Chlorophylls, copper complexes	colour (green)
141(ii)			U	Chlorophyllins, copper complexes, potassium and sodium salts	colour (green)
142	A	E		Green S	colour (green)
143	A		U	Fast green FCF	colour (FDA: FD&C Green #3)
150	A	E	U	Caramels	
150a	A	E	U	caramel I – plain	colour (brown and black)
150b	A	E	U	caramel II – sulfite caramel	colour (brown and black)
150c	A	E	U	caramel III – ammonia caramel	colour (brown and black)
150d	A	E	U	caramel IV – sulfite ammonia caramel	colour (brown and black)
151	A	E		Brilliant Black BN (Black PN)	colour (brown and black)
152	?	?		Carbon black	colour (brown and black)
153	A	E		Vegetable carbon	colour (brown and black)
154		E		Brown FK	colour (brown and black)
155	A	E		Chocolate Brown HT	colour
160a	A	E	U	carotenes	
160a(i)	A	E	U	beta-carotene, synthetic	colour
160a(ii)	A	E	U	beta-carotene, vegetable	colour
160a(iii)	A	E	U	beta-carotene, Blakeslea trispora	colour
160a(iv)	A	E	U	beta-carotene, algae	colour
160b		E	U	annatto extracts	
160b(i)		E	U	annatto extracts, bixin-based	colour
160b(ii)		E	U	annatto extracts, norbixin-based	colour
160c	A	E	U	paprika oleoresin (paprika extract)	colour
160d	A	E	U	lycopenes	
160d(i)	A	E	U	lycopene, synthetic	colour
160d(ii)	A	E	U	lycopene, tomato	colour
160d(iii)	A	E	U	lycopene, Blakeslea trispora	colour
160e	A	E	U	beta-apo-8'-carotenal (C 30)	colour
160f	A	E	U	beta-apo-8'-carotenic acid ethyl ester	colour
161a	A		U	flavoxanthin	colour
161b	A	E	U	luteins	
161b(i)	A	E	U	lutein from Tagetes erecta	colour
161b(ii)	A	E	U	Tagetes extract	colour
161c	A		U	kryptoxanthin	colour
161d	A		U	rubixanthin	colour
161e	A		U	violaxanthin	colour
161f	A		U	rhodoxanthin	colour
161g		E	U	canthaxanthin	colour
161h	?	?	U	zeaxanthins	colour
161h(i)	?	?	U	zeaxanthin, synthetic	colour
161h(ii)	?	?	U	zeaxanthin-rich extract from Tagetes erecta	colour
161i				citranaxanthin. Delisted	colour
161j				astaxanthin. Delisted	colour
162	A	E	U	beet red	colour
163	A	E	U	anthocyanins	colour
163(ii)	A	E	U	Grape skin extract	colour
163(iii)	A	E	U	Blackcurrant extract	colour
163(iv)	A	E	U	Purple corn colour	colour
163(v)	A	E	U	Red cabbage colour	colour
164	A		U	Gardenia yellow
165			U	Gardenia blue	colour
166			U	sandalwood	colour
170		E	U	calcium carbonates	
170(i)		E	U	calcium carbonate	Acidity regulator, anticaking agent, stabilizer, surface colourant
170(ii)		E	U	calcium hydrogen carbonate	Acidity regulator, anticaking agent, stabilizer, surface colourant
171	A	E	U	titanium dioxide	colour (white)
172	A	E	U	iron oxides	
172(i)	A	E	U	iron oxide, black	colour
172(ii)	A	E	U	iron oxide, red	colour
172(iii)	A	E	U	iron oxide, yellow	colour
173		E	U	aluminium	colour (silver)
174		E	U	silver	colour (silver)
175		E	U	gold	colour (gold)
180		E		Lithol Rubine BK	colour
181		E	U	tannins	colour, emulsifier, stabiliser, thickener
182			U	orchil	colour
200		E	U	sorbic acid	preservative
201			U	sodium sorbate	preservative
202		E	U	potassium sorbate	preservative
203		E	U	calcium sorbate	preservative
209			U	heptyl p-hydroxybenzoate	preservative
210		E	U	benzoic acid	preservative
211	A	E	U	sodium benzoate	preservative
212	A	E	U	potassium benzoate	preservative
213	A	E	U	calcium benzoate	preservative
214		E	U	ethyl para-hydroxybenzoate	preservative
215		E	U	sodium ethyl para-hydroxybenzoate	preservative
216	A		U	propylparaben (propyl para-hydroxybenzoate)	preservative
217			U	sodium propyl para-hydroxybenzoate	preservative
218	A	E	U	methylparaben (methyl para-hydroxybenzoate)	preservative
219		E	U	sodium methyl para-hydroxybenzoate	preservative
220	A	E	U	sulfur dioxide	preservative, antioxidant
221	A	E	U	sodium sulfite	preservative, antioxidant
222	A	E	U	sodium bisulfite (sodium hydrogen sulfite)	preservative, antioxidant
223	A	E	U	sodium metabisulfite	preservative, antioxidant, bleaching agent
224	A	E	U	potassium metabisulfite	preservative, antioxidant
225	A		U	potassium sulfite	preservative, antioxidant
226		E	U	calcium sulfite	preservative, antioxidant
227		E	U	calcium bisulfite, calcium hydrogen sulfite	preservative, antioxidant
